archive_link,country,date_detected,description,id,is_seller,risk_score,title,url
https://web.archive.org/web/20190203024151/http://q259vheer0ezsjnz.onion,INDIA,2025-04-10,Encrypted DRUGS exchange with INDIA shipping available.,e672e3bb-d809-4265-913d-d71e573935eb,False,86,Secret Drugs Bazaar,http://q259vheer0ezsjnz.onion
https://web.archive.org/web/20180801100112/http://6yj089kmemig73az.onion,INDIA,2025-04-24,Encrypted DRUGS exchange with INDIA shipping available.,79b87aa0-e2f2-495f-aad8-b6605553163e,False,92,Secret Drugs Market,http://6yj089kmemig73az.onion
https://web.archive.org/web/20221006145037/http://tlowqcggantl92zt.onion,INDIA,2025-04-03,Find verified DRUGS dealers from INDIA here.,1e9270c5-f894-4f21-8943-a2dde35fd49c,False,99,Encrypted Drugs Forum,http://tlowqcggantl92zt.onion
https://web.archive.org/web/20220208214419/http://d9iwpkamys6ozwar.onion,INDIA,2025-04-15,The most trusted INDIA source for DRUGS.,3abf3c9b-42c3-4ad8-8b88-26b1e67e12ef,False,91,Shadow Drugs Forum,http://d9iwpkamys6ozwar.onion
https://web.archive.org/web/20170913120819/http://667qi5tf5t7xbm1a.onion,INDIA,2025-04-27,Find verified DRUGS dealers from INDIA here.,7d92b7e3-c376-4d88-8e95-66d64a3324fb,False,98,Dark Drugs Exchange,http://667qi5tf5t7xbm1a.onion
https://web.archive.org/web/20190110131816/http://xzshgnrnr395se2h.onion,INDIA,2025-04-15,A secure platform for DRUGS transactions. Based in INDIA.,fd0dbe4a-025b-4f71-8b97-50061b9e682d,False,94,Shadow Drugs Hideout,http://xzshgnrnr395se2h.onion
https://web.archive.org/web/20220907224543/http://5ds405nmu6qwdlfe.onion,INDIA,2025-04-25,The most trusted INDIA source for DRUGS.,2428de49-a2d1-4ad4-ad0d-ec7b5346368f,False,92,Shadow Drugs Exchange,http://5ds405nmu6qwdlfe.onion
https://web.archive.org/web/20151001191536/http://6hcgqznr804u62o4.onion,INDIA,2025-04-13,Anonymous DRUGS marketplace with sellers from INDIA.,c5f19daf-5372-4473-83d9-214f1a2a8a02,True,90,Encrypted Drugs Bazaar,http://6hcgqznr804u62o4.onion
https://web.archive.org/web/20160113163758/http://rs8wk566jvf9juge.onion,INDIA,2025-04-21,The most trusted INDIA source for DRUGS.,b4d5029f-85e5-4609-a6da-856b025a2cce,False,93,Anonymous Drugs Network,http://rs8wk566jvf9juge.onion
https://web.archive.org/web/20231101080113/http://58r94a6tcxpy6y0d.onion,INDIA,2025-04-06,The most trusted INDIA source for DRUGS.,9c4a4df5-d8a7-4db3-9850-70bcc70b081e,True,99,Encrypted Drugs Exchange,http://58r94a6tcxpy6y0d.onion
https://web.archive.org/web/20211108232007/http://esfwaam1qabsv3na.onion,INDIA,2025-04-16,Encrypted DRUGS exchange with INDIA shipping available.,13b68847-cf53-4e7e-8420-c14df16534a7,True,96,Dark Drugs Market,http://esfwaam1qabsv3na.onion
